dataset,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_runs,n_features_mean,accuracy_mean,accuracy_std,precision_handover_mean,precision_handover_std,recall_handover_mean,recall_handover_std,f1_handover_mean,f1_handover_std,f1_handover_min,f1_handover_max,dataset_short
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Decision_Tree,Decision_Tree,5,40.0,0.6244578337110074,0.03348225950517816,0.2760425873195217,0.0489756723012748,0.6274410477368685,0.03358891673863087,0.38181650984822024,0.05170957379359392,0.3108848864526233,0.4312398882188557,D2 Urban proxy
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,KNN,KNN,5,40.0,0.7851997756372113,0.037972233341467404,0.3497909865694075,0.05419848176955706,0.1671635619815518,0.023773172114190794,0.2234326508278554,0.018104022824761,0.1996047430830039,0.2439222042139384,D2 Urban proxy
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Logistic_Regression,Logistic_Regression,5,40.0,0.641507228228352,0.031266029958173895,0.29722231216884276,0.0544216083284303,0.6791243475167372,0.03197264083559701,0.41179117513023344,0.05803780566066261,0.3342215454891511,0.4655418930511867,D2 Urban proxy
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Random_Forest,Random_Forest,5,40.0,0.7715403392221489,0.03382591676119128,0.36350664230462876,0.05870365519015052,0.28975201422806685,0.028226477054187807,0.31915382927888464,0.022934117876556907,0.2975958414554905,0.3575268817204301,D2 Urban proxy
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,SVM,SVM,5,40.0,0.6469230884186054,0.03298660807622867,0.29815115136296855,0.05420477483978439,0.660488934871839,0.01919734293017967,0.40886692620792786,0.05442733211063732,0.3501552795031056,0.4600677155945031,D2 Urban proxy
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,Decision_Tree,Decision_Tree,5,420.2,0.61851080772692,0.03314751412852245,0.24668904959997362,0.05336557113475497,0.5053250124855854,0.024670625284181995,0.3294934615685222,0.05321029107728182,0.256107171000788,0.3887820512820513,D2 Urban proxy
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,KNN,KNN,5,420.2,0.774960920895704,0.04017688840423724,0.3142546131036201,0.05460698993713419,0.16897417157214953,0.025047683128003068,0.21777345856899397,0.028027729632020843,0.1859083191850594,0.2546528803545052,D2 Urban proxy
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,Logistic_Regression,Logistic_Regression,5,420.2,0.6809225322154797,0.04656789654239707,0.32283519757585977,0.046678869666974744,0.6519420337810768,0.05597128962652181,0.4305732638238875,0.04908404066242172,0.3733121525019857,0.480231716147719,D2 Urban proxy
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,Random_Forest,Random_Forest,5,420.2,0.8123688667729585,0.04600027052071415,0.5294789734075448,0.22496094583821913,0.02315944516441294,0.016768468702069342,0.0440678310874129,0.031042054079707157,0.0101910828025477,0.0926430517711171,D2 Urban proxy
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,SVM,SVM,5,420.2,0.7470421433006427,0.042922825114539924,0.3712166717639849,0.05458378042427086,0.4975958850005241,0.048283400701266944,0.4216221137889985,0.03340416529401991,0.3833253473885961,0.4658963846440551,D2 Urban proxy
